"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",144166,61
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",11014,1
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",20992,0
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",6131,1
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",18979,4
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",10159,1
"Simon Fell","@simonfell","Conservative","Barrow and Furness",4033,1
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",17385,5
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",4363,3
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18412,-2
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",3747,1
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34536,-4
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4225,0
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",24239,-2
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",3973,3
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",25167,17
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",8679,4
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",4663,5
"Sarah Owen","@SarahOwen_","Labour","Luton North",19779,1
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",16694,4
"Sarah Jones","@LabourSJ","Labour","Croydon Central",21231,-3
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",9425,20
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1720,2
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",48445,-3
"Sarah Atherton","@AthertonNWales","Conservative","Wrexham",7127,11
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",5675,8
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",7140,0
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",21283,-8
"Sam Tarry","@SamTarry","Labour","Ilford South",21337,1
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",3611,6
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",249892,299
"Ruth Jones","@RuthNewportWest","Labour","Newport West",6321,2
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",4042,5
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",22581,5
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",44130,7
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",7888,0
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",36359,5
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",13945,8
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13207,6
"Roger Gale","@SirRogerGale","Conservative","North Thanet",6440,2
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14316,0
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",3149,11
"Robert Syms ","@RobertSyms","Conservative","Poole",11881,4
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",17547,7
"Robert Largan","@robertlargan","Conservative","High Peak",6168,9
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",55938,4
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",36144,-2
"Robert Courts ","@robertcourts","Conservative","Witney",9580,-1
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",28967,11
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",4893,1
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1041,0
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",477275,72
"Richard Holden","@RicHolden","Conservative","North West Durham",8343,2
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",12544,2
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",3068,2
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",143097,227
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1589,1
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",19064,-4
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",13794,1
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",185876,29
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",6761,-1
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2056,0
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",105133,14
"Rachel Maclean","@redditchrachel","Conservative","Redditch",10862,3
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",7917,1
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",29342,3
"Priti Patel ","@pritipatel","Conservative","Witham",346743,212
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",36890,19
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",11786,0
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",20789,-4
"Peter Kyle ","@peterkyle","Labour","Hove",42312,17
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16456,7
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",3220,1
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",16148,-1
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",39495,-3
"Peter Aldous ","@peter_aldous","Conservative","Waveney",11249,0
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",50410,6
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",81076,10
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",20156,-3
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",14566,15
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",15490,7
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",18997,2
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",19611,8
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",2721,1
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",6927,3
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6361,2
"Paul Bristow","@paulbristow79","Conservative","Peterborough",9067,4
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",21672,3
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",16805,2
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13266,5
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",24990,53
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",7685,2
"Owen Paterson ","@OwenPaterson","Conservative","North Shropshire",49991,17
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",7923,3
